#{"t_start": 1673868394.7800796, "env_id": "gripper-env-v0"}
r,l,t
-39499.036356,200,12.757838
6900.065492,17,14.440151
-40000.0,200,22.62393
5899.846584,22,24.674734
10000.0,1,25.891772
-26295.928618,189,37.642695
10000.0,1,38.791692
-40000.0,200,51.475186
-40000.0,200,69.226868
-23897.215045,173,79.94173
-39701.724332,200,92.641846
-40000.0,200,105.525146
-39898.594852,200,118.341532
9900.000284,2,119.574253
-2695.009721,66,124.841671
-40000.0,200,137.908334
-39700.342112,200,150.441463
-39297.786151,200,163.341467
-40000.0,200,175.341374
-2890.160472,68,180.408195
-40000.0,200,192.59147
4799.408573,33,195.82522
-40000.0,200,208.024852
-40000.0,200,221.3585
-40000.0,200,233.808209
-19612.028666,158,243.207846
-39711.807216,200,255.224591
-40000.0,200,268.558129
8199.153465,13,270.558805
-39800.05046,200,282.62473
-39900.592854,200,295.224694
-39901.522467,200,306.45787
-39900.601708,200,319.208266
-40000.0,200,332.108131
-39288.804272,200,344.957936
-40000.0,200,357.15774
-40000.0,200,369.157919
-40000.0,200,380.974258
-39901.057631,200,393.857786
-3201.448884,69,398.908047
-40000.0,200,410.92387
-39901.771967,200,423.440531
-40000.0,200,434.973429
-40000.0,200,449.273573
-39499.655377,200,463.256435
-39901.255418,200,476.255901
-39801.284992,200,489.005945
-40000.0,200,500.872198
-40000.0,200,513.088626
-25697.532197,181,529.656083
-40000.0,200,555.706037
-39800.138774,200,568.920863
-39900.89027,200,581.17071
-19406.03176,153,591.220598
-40000.0,200,603.853767
-39399.824433,200,616.670053
-39899.729578,200,628.802571
-40000.0,200,642.052794
6999.744642,17,643.986069
10000.0,1,645.102166
-10201.513774,104,652.636016
-36713.047595,200,666.635481
-40000.0,200,680.169091
-17395.738649,141,691.569656
-38590.424081,200,705.0517
-40000.0,200,720.185074
-39913.050356,200,735.117582
-39900.000007,200,748.300712
-39499.684163,200,759.900309
-38813.539302,200,771.699861
9800.511129,3,772.983132
-8299.235337,95,780.317159
-37711.68695,200,793.883095
-2216.304354,64,799.082913
-40000.0,200,812.582451
-39801.698171,200,827.515714
-39711.654176,200,840.015332
-2295.879485,76,845.998624
-39800.015446,200,858.181705
-37795.649838,200,873.415125
-38689.042157,200,887.897846
-39400.990136,200,902.197828
-39900.005487,200,914.731164
-10699.999981,105,921.447676
-40000.0,200,934.864551
-40000.0,200,947.548507
-40000.0,200,959.830963
-39503.784879,200,972.230766
-40000.0,200,985.497675
-39405.309863,200,999.131483
-40000.0,200,1010.847428
-40000.0,200,1021.947308
-40000.0,200,1033.34748
-40000.0,200,1046.614247
-40000.0,200,1059.5809
-40000.0,200,1070.697191
-40000.0,200,1082.230682
-40000.0,200,1093.497511
-40000.0,200,1105.130714
-40000.0,200,1116.430605
-40000.0,200,1127.530516
-40000.0,200,1139.63091
-40000.0,200,1154.347908
-40000.0,200,1165.497026
-40000.0,200,1182.014989
-40000.0,200,1193.130311
-40000.0,200,1204.180413
-40000.0,200,1215.530567
-40000.0,200,1226.647015
-40000.0,200,1237.746786
-40000.0,200,1248.897027
-40000.0,200,1260.096969
-40000.0,200,1271.330254
-40000.0,200,1283.030386
-40000.0,200,1294.280307
-40000.0,200,1305.430166
-40000.0,200,1316.46345
-40000.0,200,1328.196818
-39809.831282,200,1340.063796
-35700.142821,200,1355.564597
-40000.0,200,1366.880108
-40000.0,200,1377.979838
-39891.921636,200,1389.979826
-40000.0,200,1401.096441
-38618.499234,200,1412.79658
-40000.0,200,1424.796808
-39506.171656,200,1436.130031
-39611.986318,200,1447.830007
-40000.0,200,1459.529786
-40000.0,200,1473.013561
-12885.625716,129,1482.330416
-40000.0,200,1496.313493
-40000.0,200,1507.763289
-40000.0,200,1521.513623
-9384.54968,102,1529.096673
-39499.060165,200,1542.663393
-40000.0,200,1556.346676
-39899.883144,200,1572.714087
-39600.175307,200,1584.179487
-40000.0,200,1596.146251
-39799.872016,200,1607.396183
-39114.290644,200,1619.113225
-39802.276593,200,1630.696268
-40000.0,200,1642.42982
-39799.599532,200,1668.966349
-40000.0,200,1681.129481
-34206.774185,200,1693.962909
-39699.583871,200,1705.796556
-40000.0,200,1717.378973
-40000.0,200,1731.029684
-39626.426502,200,1744.713199
-40000.0,200,1756.813151
-35371.017966,200,1769.129108
-39462.832533,200,1783.046301
-40000.0,200,1797.229456
-40000.0,200,1810.513085
-40000.0,200,1822.579453
-40000.0,200,1834.762743
-33717.376674,200,1848.129181
-40000.0,200,1863.962986
-40000.0,200,1878.545958
-40000.0,200,1892.379138
-40000.0,200,1904.31201
-40000.0,200,1916.862154
-40000.0,200,1929.245343
-40000.0,200,1941.162341
-40000.0,200,1953.528869
-40000.0,200,1965.14567
-40000.0,200,1976.796034
-39301.11895,200,1989.812223
-40000.0,200,2003.745559
-40000.0,200,2017.228667
-40000.0,200,2031.928685
-40000.0,200,2045.946125
-40000.0,200,2060.461983
-39697.870831,200,2072.478563
-40000.0,200,2086.978681
-40000.0,200,2101.061818
-40000.0,200,2113.37826
-40000.0,200,2126.96168
-40000.0,200,2139.611594
-40000.0,200,2154.445165
-40000.0,200,2165.961272
-40000.0,200,2178.078371
-39815.489744,200,2191.061124
-40000.0,200,2203.395089
-39117.103002,200,2216.9617
-40000.0,200,2231.695106
-40000.0,200,2243.91124
-39799.217224,200,2256.511402
-40000.0,200,2269.095037
-40000.0,200,2281.695025
-40000.0,200,2294.494998
-39902.783882,200,2308.028263
-40000.0,200,2320.928041
-40000.0,200,2332.711235
-40000.0,200,2344.91188
-40000.0,200,2358.279815
-40000.0,200,2378.54653
-40000.0,200,2391.361058
-40000.0,200,2409.878739
-40000.0,200,2423.527659
-40000.0,200,2437.145932
-39900.002999,200,2450.894718
-40000.0,200,2464.644316
-40000.0,200,2478.260968
-40000.0,200,2492.444837
-39300.846108,200,2507.414737
-40000.0,200,2521.460715
-40000.0,200,2533.194147
-40000.0,200,2545.96084
-40000.0,200,2557.527251
-38550.193526,200,2571.377902
-40000.0,200,2588.594303
-40000.0,200,2601.028336
-38412.813845,200,2617.110646
-40000.0,200,2628.943936
-40000.0,200,2641.360422
-40000.0,200,2654.260574
-40000.0,200,2667.060696
-40000.0,200,2680.86075
-37618.117556,200,2693.877211
-40000.0,200,2707.327471
-1404.922801,74,2713.777995
-30037.062757,200,2728.693938
-40000.0,200,2745.410605
-39635.19731,200,2757.627644
-35951.384383,200,2773.026892
-39819.038654,200,2786.17688
-40000.0,200,2797.643576
-40000.0,200,2809.110163
-36626.785831,200,2824.377092
-6091.128409,86,2834.261493
-40000.0,200,2846.831347
-40000.0,200,2861.176928
-38690.984411,200,2875.160115
5509.864663,30,2877.910829
-40000.0,200,2891.32702
5710.801621,24,2893.92717
5312.665919,26,2896.577032
-40000.0,200,2907.593046
-40000.0,200,2918.826425
-40000.0,200,2930.043095
-8286.966395,96,2937.127018
-40000.0,200,2949.076577
-40000.0,200,2972.577693
-40000.0,200,2985.059791
-40000.0,200,2996.24318
-40000.0,200,3008.092822
-12899.437405,118,3016.426802
-40000.0,200,3028.810067
-39900.004013,200,3044.777233
-40000.0,200,3057.293207
-40000.0,200,3070.043001
-40000.0,200,3083.726782
-40000.0,200,3095.659447
-40000.0,200,3107.176047
-40000.0,200,3120.642948
9498.399617,4,3122.109578
9699.075322,3,3123.392687
9298.713157,5,3124.792352
-40000.0,200,3137.559732
-39800.96839,200,3154.310164
7099.62509,16,3157.309648
9097.758261,6,3158.792943
-40000.0,200,3175.377794
-40000.0,200,3190.409648
-34987.945115,200,3203.1931
-16792.542274,141,3212.909745
9699.013985,3,3214.191982
1612.757681,47,3218.710214
-39799.05241,200,3232.175854
-38799.527906,200,3251.09376
-40000.0,200,3262.275992
-39800.637319,200,3274.910443
7814.641798,13,3276.909928
-299.999975,53,3281.192512
8214.911344,15,3283.22665
-39901.07905,200,3295.942914
8300.000047,10,3297.542391
8897.800411,7,3298.942305
9613.896086,4,3300.476884
2811.609447,42,3303.958867
-39793.29341,200,3426.592661
-38899.993898,200,3439.275606
9698.449609,3,3440.558897
-21309.668867,167,3452.692437
8795.683583,8,3454.175424
9098.265322,6,3455.575531
-1792.582082,98,3462.77556
-40000.0,200,3480.492573
9298.791267,5,3481.976042
7809.269008,13,3483.725641
-36004.070379,200,3496.858558
9812.733026,3,3498.124646
-39803.122864,200,3514.492124
7998.784919,12,3516.392811
5698.177499,23,3518.675376
5953.959082,27,3521.12532
9699.30839,3,3522.324704
3414.287297,41,3526.042434
9098.311592,7,3527.609427
5305.249025,26,3531.16048
-25601.435248,200,3544.458745
4610.098037,39,3547.875404
6403.640855,20,3550.24255
8099.077432,11,3551.875554
6223.773128,23,3554.242169
6612.921806,20,3556.425467
9900.012348,2,3557.79304
9610.064216,4,3559.225488
8597.263888,9,3560.842401
9213.715594,7,3562.408822
5620.709511,28,3565.042085
9298.280963,5,3566.375312
9900.017435,2,3567.675515
4241.794473,36,3570.875527
10000.0,1,3572.041432
710.667395,79,3578.708916
7097.949265,16,3580.608223
1525.547995,54,3587.126554
5822.660593,27,3589.758713
7497.560245,14,3592.426206
6700.458227,25,3595.275565
1965.491745,49,3599.425447
1471.161966,53,3603.675247
4834.357987,33,3606.609478
6522.362938,21,3608.892163
9297.638159,5,3610.224843
6898.173021,17,3612.158833
9501.202665,4,3613.608726
6220.641369,23,3616.359518
3912.086338,35,3619.35855
9098.317168,6,3620.857982
9698.184561,3,3622.242492
6898.873836,17,3624.191781
6033.062081,24,3626.675889
7211.702701,23,3629.292606
7213.746645,16,3631.242094
8102.369538,11,3633.258893
5904.866325,23,3635.458302
6813.403644,18,3637.425394
5697.716794,23,3639.675034
6897.002595,18,3641.708935
9211.642845,6,3643.158189
6713.789252,19,3645.242003
7298.024736,15,3647.075243
6286.769304,22,3649.508868
8813.698857,8,3651.108886
-40000.0,200,3670.942047
9297.205823,5,3672.207822
6411.457865,23,3674.609502
4609.152649,32,3677.475188
6698.939456,18,3679.542498
7108.710855,17,3681.641715
6211.332297,24,3684.108894
7395.618441,15,3686.359272
6097.998993,21,3688.625322
4510.170683,30,3691.642049
6014.219337,28,3694.425221
7605.551625,14,3696.25875
7498.078932,14,3698.091808
7311.540413,17,3700.325303
4298.066938,30,3704.126518
6213.389058,22,3706.424674
7298.952068,15,3708.508294
9698.391248,3,3709.807574
7698.249796,13,3711.62477
7298.558701,15,3713.759223
7296.804893,15,3715.708457
9900.000178,2,3716.957579
7413.217607,15,3718.825406
9697.835832,3,3720.024811
6097.95793,21,3722.174946
9311.924875,8,3723.842183
9900.08781,2,3725.024515
8900.007115,7,3726.524497
9297.634047,5,3727.925142
-28491.589734,196,3741.591961
6899.190456,17,3743.491288
9098.920897,6,3744.89174
6808.744551,18,3747.225022
6604.609906,20,3749.391902
8900.943843,7,3750.924773
7098.823861,16,3752.791183
9503.12738,4,3754.142116
9497.892508,4,3755.6102
7097.586074,16,3757.474851
9198.140891,6,3758.908252
6412.326766,23,3761.258924
6811.246186,19,3763.291618
6196.412789,21,3765.375516
8814.244617,10,3768.044561
6511.444643,20,3770.058454
7012.368572,17,3771.942152
5298.17522,25,3774.630246
5400.208367,25,3777.241873
9099.994973,6,3779.126076
8696.44733,8,3780.927036
6103.366452,23,3783.560198
9299.398715,5,3784.858672
9700.076631,3,3786.058408
9299.042092,5,3787.341336
6109.522193,22,3789.658326
9698.727158,3,3790.874858
6503.265555,20,3793.091568
2196.777603,42,3797.710018
6895.163256,17,3799.828151
6402.227356,20,3801.991664
7298.367367,15,3803.775041
6896.754873,17,3805.892027
9098.35763,6,3807.441476
9497.342549,4,3808.807591
9101.405346,6,3810.208655
9097.392809,6,3811.642028
9698.364327,3,3812.724955
8608.732231,9,3814.526152
5503.868829,24,3817.525635
8291.973975,10,3819.243076
9499.860377,4,3820.54232
9498.129218,4,3821.824952
4497.741512,33,3824.858006
7098.417942,16,3826.774904
5602.623736,24,3829.542009
8698.963086,8,3831.125328
9101.086628,6,3832.574364
9400.119091,5,3834.20894
5001.882229,29,3837.0086
6198.922713,21,3839.775614
10000.0,1,3840.974302
6697.428404,18,3842.992216
6303.15052,23,3845.341768
9697.101905,3,3846.541184
6415.46677,21,3848.875271
8281.506328,10,3850.592478
6799.169241,18,3852.658303
7099.364576,16,3854.875197
9498.33807,4,3856.174632
7099.293194,16,3858.141321
9299.643756,5,3859.491245
9297.786275,5,3860.807792
9498.90649,4,3862.190703
8696.685797,8,3863.775195
6700.4645,19,3866.759617
7501.102799,14,3868.89125
9299.391429,5,3870.308604
6098.28372,21,3872.79123
8592.462284,9,3874.558613
9698.926072,3,3875.858167
9212.090152,6,3877.324122
8898.204785,7,3878.724896
7996.947642,12,3880.575097
-14902.104751,126,3890.959007
9497.006373,4,3892.357456
7491.078608,14,3894.575799
9699.44426,3,3895.708221
7710.276769,14,3897.659283
8898.371134,7,3899.041682
6698.510073,18,3901.024743
6024.920745,23,3903.25774
9011.941196,7,3904.557446
6224.858945,22,3906.792061
5599.328767,24,3909.175452
8896.909644,7,3910.441455
9699.058828,3,3911.657235
8899.999705,7,3912.924273
8500.000135,9,3914.508257
9300.239992,5,3915.941365
4912.933684,28,3918.490972
9498.415686,4,3919.807943
3898.739287,32,3923.207309
9498.48541,4,3924.590928
8600.683773,9,3926.208799
9209.002831,6,3927.825697
9298.226208,5,3929.140704
7098.114574,16,3931.308158
7299.454619,15,3933.37452
9298.159093,5,3934.741279
5014.410864,28,3937.490966
8897.454416,8,3939.342443
8897.743932,7,3940.757457
7099.783188,16,3942.707716
9297.969707,5,3944.090696
8704.007904,11,3946.158416
9498.142779,4,3947.457475
8197.467889,11,3949.259079
-8303.864041,93,3957.575385
7298.806688,15,3959.407819
9098.858496,6,3961.041991
9698.341635,3,3962.307846
7206.442665,16,3964.324606
9293.253518,5,3965.741065
2613.243827,39,3969.658136
8797.367446,8,3971.225419
-30199.950466,200,3990.775411
9698.043998,3,3991.940936
9608.305142,4,3993.24028
7198.761737,16,3995.324759
6411.732014,20,3997.691848
9298.332177,5,3999.057537
8689.376131,8,4000.5906
9298.496814,5,4002.007722
7098.553018,16,4003.890975
9100.000246,6,4005.30807
6998.44182,17,4007.290924
7097.769206,16,4009.157898
8697.145806,8,4010.858775
6898.481469,17,4012.824452
5704.450552,25,4015.49189
8196.273269,11,4017.291931
10000.0,1,4018.524056
4491.381369,29,4022.575011
9498.107751,4,4023.874171
10000.0,1,4025.141287
9298.289699,5,4026.490798
9099.873011,6,4027.908302
9099.99994,6,4029.290908
9102.916639,7,4030.790516
6204.431642,24,4033.724771
6698.021829,18,4035.741045
7308.110039,19,4038.224084
6609.962193,19,4040.357475
8100.703029,19,4042.691048
9498.450021,4,4043.974071
8897.292375,7,4045.641377
7102.98705,18,4048.241394
7908.620289,13,4050.07402
9000.458311,7,4051.607624
10000.0,1,4052.974317
8910.84543,9,4054.907505
6899.541779,17,4057.191947
6299.997184,20,4060.225333
7997.867497,12,4062.040729
7012.625404,17,4064.057354
5914.848649,23,4066.424274
9698.32477,3,4067.723892
9701.081622,3,4068.974249
6998.253729,17,4070.990883
8600.001008,10,4072.64132
10000.0,1,4073.873438
9078.904691,6,4075.40716
8908.264184,9,4077.05765
7597.005198,14,4079.37426
6114.21411,22,4082.041581
9100.000293,6,4083.490518
7614.339148,15,4085.708169
8898.146668,7,4087.241387
9097.918293,6,4088.723668
9698.7636,3,4089.95718
6098.208946,21,4092.140899
8880.926726,8,4093.84156
5014.506976,35,4097.124595
8900.391474,7,4098.607365
7106.904112,20,4101.041756
8100.001072,11,4102.807976
8700.00096,9,4104.54138
-22981.149211,200,4119.09129
4600.486555,30,4122.008108
4501.460143,33,4125.141883
9297.501374,5,4126.575171
8897.815104,7,4127.991428
8699.999917,8,4129.52431
4900.098969,28,4132.241651
9497.60664,4,4133.62408
6912.327877,18,4135.657425
4392.05306,33,4139.391486
9700.27638,3,4140.557659
7808.992503,13,4142.775795
6013.679515,24,4145.440946
7298.95736,15,4147.274425
7213.899007,16,4149.140536
8801.093597,8,4150.641102
7298.511021,15,4152.49139
7100.0001,16,4154.624751
6699.701381,19,4156.657077
5300.80513,25,4158.990511
9699.298712,3,4160.190073
7498.337176,14,4162.04243
9698.179817,3,4163.423764
9408.388362,5,4164.907989
7191.578387,16,4166.874179
9698.379745,3,4168.173915
8015.518554,17,4170.39145
4797.892902,50,4174.757539
7786.427337,13,4176.624431
9698.305955,3,4177.806792
4295.147782,30,4181.958723
9111.100046,7,4183.541534
6098.187377,21,4185.825209
6302.139191,20,4187.991043
9097.504003,7,4189.423766
5609.168785,34,4193.30826
7207.783398,16,4195.123986
9099.779835,6,4196.624564
7098.145391,16,4198.490513
7297.454015,15,4200.440917
9653.927261,5,4201.773505
6897.772449,17,4203.723671
7896.818363,12,4205.475176
-40000.0,200,4219.640628
4907.664832,31,4222.540656
2017.191123,44,4226.20733
9298.268955,5,4227.523364
6396.975113,20,4229.540259
7098.424788,16,4231.640753
8499.378932,9,4233.374266
6898.179359,17,4235.457983
7297.992976,15,4237.27413
9499.717937,4,4238.540589
9298.200238,5,4240.126243
9399.468556,5,4241.540829
-20103.381297,153,4253.441857
-39498.984832,200,4267.557385
8398.293571,10,4269.17487
9298.20795,5,4270.473017
10000.0,1,4271.556811
6103.039937,23,4273.973941
-40000.0,200,4288.173787
-39803.25291,200,4307.774607
9697.920376,3,4309.074629
9500.167261,4,4310.37366
7297.053099,15,4312.24031
9198.279416,6,4314.462546
8098.464585,11,4316.072921
-40000.0,200,4329.640616
2499.999829,39,4333.124188
10000.0,1,4334.323361
9698.521351,3,4335.573543
9298.360785,5,4336.957663
10000.0,1,4338.123681
-18501.457138,144,4348.023874
9701.115239,3,4349.256387
-28301.612071,194,4362.87356
9477.281767,7,4364.339816
3511.383558,37,4367.373999
-17001.949709,138,4376.973932
9500.034337,4,4378.206222
8887.039557,7,4379.790693
7698.087108,13,4381.523773
9497.874709,4,4382.806726
6102.246629,22,4385.00843
9301.090407,5,4386.289869
8103.799068,13,4388.073831
9298.396055,5,4389.389606
10000.0,1,4390.455821
6997.071819,17,4392.35685
9699.469564,3,4393.50651
8999.766475,7,4395.023067
7600.000337,14,4396.924127
8196.799707,11,4398.64067
3392.120041,38,4402.607111
9413.203229,5,4404.007659
7398.269201,15,4406.190445
7015.354723,17,4408.374197
9097.50578,6,4409.924985
9497.844378,4,4411.206666
-2201.255877,64,4415.55679
9697.67736,3,4416.974095
7599.591288,14,4418.890823
9697.57538,3,4420.173401
6107.735628,23,4422.94128
9459.795696,7,4425.009212
9297.840625,5,4427.19063
3595.403661,34,4430.440915
9697.512132,3,4431.723265
3607.741688,35,4434.973305
9698.11463,3,4436.339282
7500.000523,14,4438.390875
9297.717676,5,4439.672523
3898.556449,32,4442.557181
9498.000931,4,4443.873096
-11200.000189,108,4452.958247
9699.317508,3,4454.407398
9499.391458,4,4455.706833
8412.106833,10,4457.323452
9411.290698,5,4458.840275
4193.568232,31,4461.556883
6496.126663,19,4464.007587
10000.0,1,4465.155842
9297.430657,5,4466.523556
9097.388032,6,4468.057353
9698.970528,3,4469.322999
7902.201978,12,4471.057027
-1808.218923,63,4475.723341
7799.999133,14,4478.008513
6700.000053,18,4480.041013
9700.319856,3,4481.356531
9610.907094,4,4482.67344
9612.694004,4,4484.291383
8014.054994,12,4486.107255
8501.3176,11,4487.874106
8481.817702,9,4489.44008
7699.999971,13,4491.390016
9500.729338,4,4492.723611
-38995.184052,200,4505.522807
5698.841208,23,4507.756848
9298.617122,5,4509.140113
9099.658305,6,4510.606878
-2301.636618,63,4515.156789
2917.19434,52,4519.223398
9498.143496,4,4520.641594
4566.586766,36,4523.806963
9697.920246,3,4525.055734
9309.092808,7,4526.590269
10000.0,1,4527.773131
9700.309536,3,4529.056557
399.381785,50,4533.3063
4400.592683,31,4536.440372
7811.66793,13,4538.256317
5799.671195,23,4540.639982
9101.845807,6,4542.140288
2399.440005,41,4546.323419
7683.982787,13,4548.224051
9699.406825,3,4549.540233
9300.782925,5,4550.957005
8498.216201,9,4552.623646
9497.621799,4,4553.906357
9299.431453,5,4555.172532
10000.0,1,4556.389708
9298.007687,5,4557.808109
9101.623454,6,4559.273618
9298.843226,5,4560.656678
9500.842704,4,4561.938792
10000.0,1,4563.291622
10000.0,1,4564.439401
9295.855537,5,4565.806497
9498.04368,4,4567.106663
9098.316122,6,4568.540038
9296.155929,5,4569.939237
6195.483707,21,4572.706388
9098.743077,6,4574.156097
9298.115076,5,4575.539473
9697.649117,3,4576.856431
8403.504333,12,4578.656413
9297.561769,5,4580.192483
9697.881289,3,4581.522836
8900.005309,7,4582.989654
9297.79223,5,4584.389935
9298.09829,5,4585.739695
9497.779541,4,4587.039047
9099.997804,6,4588.59002
5698.503135,23,4591.139723
7496.009299,15,4593.206618
9497.857945,4,4594.623536
9698.206803,3,4595.889495
7199.356964,16,4597.789968
7299.15278,15,4599.656302
-502.262627,54,4604.073365
9498.56428,4,4605.408275
3898.25467,32,4608.558167
9094.736879,6,4609.993304
9297.744311,5,4611.323154
9100.000002,6,4612.807363
10000.0,1,4613.955553
6298.003202,20,4616.322921
9089.318696,6,4617.739306
9699.221444,3,4619.039763
9097.731476,6,4620.439314
9697.880166,3,4621.673177
9298.864808,5,4623.106451
9499.556318,4,4624.406011
9498.142811,4,4625.705718
9403.295244,5,4627.055871
9497.721829,4,4628.390013
9497.687379,4,4629.739743
9197.999895,6,4631.12345
6298.022491,20,4633.373112
-899.966561,56,4639.206996
8098.220604,11,4641.006251
9314.19178,6,4642.439359
9498.120792,4,4643.924291
9498.38141,4,4645.391153
9297.523605,5,4646.856697
7198.118178,16,4648.772774
9498.079988,4,4650.223747
9412.139767,5,4651.607057
9700.400337,3,4652.888904
9399.065925,5,4654.273071
9298.989428,5,4655.639373
9094.910766,6,4657.374673
9277.824618,5,4658.755926
9497.131778,4,4660.122946
9498.664913,4,4661.439335
9100.515714,6,4662.889011
9298.21493,5,4664.372895
8909.398484,8,4666.072872
9697.057515,3,4667.406286
9698.384552,3,4668.706158
8898.016856,7,4670.206976
9213.922099,6,4671.756848
9098.142163,6,4673.155894
9496.773095,4,4674.489454
1499.535229,44,4678.723629
9099.999611,6,4680.106085
9298.027529,5,4681.489434
9698.113198,3,4682.873611
9298.08285,5,4684.273801
10000.0,1,4685.623651
6097.925221,21,4687.789493
